清	qing1	726195.6874	441		1121	2511	水			月
亲	qin1	724281.2444	41431		1234		立		木	
入	ru4	723539.9721	34							
五	wu3	720973.8528	1251							
公	gong1	712610.0345	34		54					
立	li4	712451.5186	41431				立			
息	xi1	711815.1578	325111		4544		丿		心	
内	nei4	711484.342	2534							
据	ju4	707787.9356	121		513	12251	手		尸	十
且	qie3	704891.7663	25111							
写	xie3	697992.1139	45		151					
语	yu3	691883.5094	45		1251	251	讠			口
原	yuan2	689113.6933	13		32511	234			白	
山	shan1	688960.5379	252				山			
望	wang4	687386.8658	415	3511	1121			月	王	
加	jia1	682590.0375	53		251		力		口	
教	jiao4	673203.9067	1213	521	3134		十		攵	
轻	qing1	672357.7229	1521		54	121	车			
程	cheng2	670202.8259	31234		251	1121	禾		口	王
度	du4	669466.914	413	1221	54		广		又	
思	si1	669454.6616	25121		4544				心	
特	te4	665556.8558	3121		121	124			土	寸
花	hua1	664939.6393	122		32	35	草		亻	匕
吃	chi1	662374.2858	251		31	5	口			
则	ze2	661109.2219	2534		22		贝			
或	huo4	659770.6434	1534		251	1			口	
命	ming4	659498.0267	341		251	52	人		口	
合	he2	658411.3889	341		251		人		口	
马	ma3	657350.0217	551							
今	jin1	654466.8707	34		45		人			
路	lu4	653930.0609	251	2121	354	251	足		夂	口
提	ti2	650866.1864	121		2511	12134	手		日	
化	hua4	650250.5015	32		35		亻		匕	
海	hai3	650030.7235	441		31	55414	水			
解	jie3	649851.5316	35	35112	53	3112			刀	
目	mu4	649130.9353	25111				目			
必	bi4	646359.5877	45434							
带	dai4	645252.2739	122245		252					
民	min2	644565.3717	51515							
士	shi4	643987.21	121				士			
爱	ai4	641988.5315	344345		13	54				又
非	fei1	641235.7726	2111		2111					
图	tu2	641115.5456	251		354	44	囗		夂	
虽	sui1	640751.8014	251		251214		口		虫	
该	gai1	639610.7934	45		415334		讠			
至	zhi4	639213.355	154		121				土	
世	shi4	635299.4679	12215							
言	yan2	634455.5814	41		11	251				口
美	mei3	633122.3634	43	1121	134			王	大	
安	an1	632705.0148	445		531		宀		女	
活	huo2	632324.4236	441		312	251	水		丿	口
龙	long2	629370.821	13534							
式	shi4	627398.179	154		121		工			
物	wu4	623073.0695	3121		3533					
总	zong3	616822.7961	43	251	4544			口	心	
任	ren4	616289.8152	32		3121		亻			
形	xing2	612690.6625	1132		333					
吗	ma5	608609.8359	251		551		口			
远	yuan3	603370.3884	11	35	454			儿	辶	
受	shou4	601115.9404	344345		54				又	
跟	gen1	598585.8126	2512121		511534		足			
乎	hu1	595495.1359	34312							
金	jin1	592671.7155	34112431				金			
义	yi4	584917.4558	434							
论	lun4	584623.3973	45		34	35	讠		人	匕
强	qiang2	582098.63	515		251	251214			口	虫
代	dai4	580215.5839	32		154		亻			
微	wei1	579055.4315	332		252135	3134	彳		山	攵
满	man3	578956.6462	441		122	1253434	水		草	
题	ti2	574673.6545	2511	12134	132534		日		页	
坐	zuo4	572066.1832	34	34	121		人	人	土	
钱	qian2	571726.1781	31115		11534		金			
若	ruo4	571687.8893	122		13	251	草			口
车	che1	565788.3419	1512				车			
半	ban4	565346.4884	43112							
飞	fei1	564652.6943	534							
反	fan3	564554.6748	33		54				又	
指	zhi3	563257.4483	121		35	2511	手		匕	日
啊	a5	562654.7817	251		52	12512	口			
报	bao4	560163.7085	121		52	54	手			又
服	fu2	559650.6378	3511		52	54	月			又
找	zhao3	559527.3477	121		1534		手			
类	lei4	558098.4075	431234	1234	134			木	大	
黑	hei1	557744.6184	25431211		4444				火	
界	jie4	555252.0137	25121		34	32			人	
转	zhuan4	554846.9176	1521		1154		车			
李	li3	554415.0192	1234		521		木			
制	zhi4	553146.8922	311252		22					
传	chuan2	552311.4293	32		1154		亻			
即	ji2	551391.7309	51154		52					
记	ji4	549297.3303	45		515		讠			
师	shi1	548735.2499	23		1252					
往	wang3	548070.5553	332		41	121	彳			土
怕	pa4	545411.0112	442		32511				白	
刚	gang1	541306.4455	2534		22					
夫	fu1	540906.7098	1134							
各	ge4	539578.0864	354		251		夂		口	
容	rong2	535555.4589	445		3434	251	宀			口
及	ji2	534363.1438	534							
管	guan3	529624.5146	314314		445	25151	竹		宀	
步	bu4	525285.6211	2121		233		止			
红	hong2	524990.0312	551		121		纟			
城	cheng2	523857.4467	121		135534		土			
